Logging Position	(0.1, 0.6, 2.1)	 Orientation:	(9.4, 11.1, 1.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-1.7, 0.2, 1.9)	 Orientation:	(9.9, 3.6, 0.6)	 UserID:		Time:	No time Logged 2
Logging Position	(-1.0, 0.5, 2.3)	 Orientation:	(5.4, 43.2, 5.1)	 UserID:		Time:	No time Logged 1
Logging Position	(-2.7, 0.2, 2.2)	 Orientation:	(4.8, 31.6, 2.9)	 UserID:		Time:	No time Logged 2
Logging Position	(0.9, 0.5, 2.8)	 Orientation:	(10.3, 342.6, 356.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-0.8, 0.2, 2.3)	 Orientation:	(7.2, 336.3, 356.9)	 UserID:		Time:	No time Logged 2
Logging Position	(0.1, 0.5, 2.1)	 Orientation:	(8.1, 6.4, 0.9)	 UserID:		Time:	No time Logged 1
Logging Position	(0.1, 0.6, 2.1)	 Orientation:	(7.3, 351.3, 359.7)	 UserID:		Time:	No time Logged 2
Logging Position	(-1.0, 0.5, 2.4)	 Orientation:	(3.9, 51.2, 4.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-0.9, 0.5, 2.6)	 Orientation:	(3.0, 31.7, 2.7)	 UserID:		Time:	No time Logged 2
Logging Position	(0.9, 0.5, 2.8)	 Orientation:	(9.7, 343.1, 357.1)	 UserID:		Time:	No time Logged 1
Logging Position	(1.0, 0.5, 2.5)	 Orientation:	(3.8, 328.6, 358.0)	 UserID:		Time:	No time Logged 2
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	0.01631216
Tracking Begun: 	0.3208138	1.760328	 UserID:	SubUser 1 1	Time:	17.54301
Tracking Begun: 	-0.3373319	1.569211	 UserID:	SubUser 1 3	Time:	20.78648
Tracking Continued: 	0.3319171	1.431608	 UserID:	SubUser 1 1	Time:	20.78648
Tracking Lost: 	0	0	 UserID:	SubUser 1 1	Time:	21.50315
Tracking Begun: 	0.9229468	2.139641	 UserID:	SubUser 1 1	Time:	22.30997
Tracking Lost: 	0	0	 UserID:	SubUser 1 1	Time:	28.38894
Tracking Continued: 	-0.2690102	1.701136	 UserID:	SubUser 1 3	Time:	30.01529
Tracking Begun: 	0.12302	1.751174	 UserID:	SubUser 1 4	Time:	35.50919
Tracking Begun: 	0.3648785	1.368625	 UserID:	SubUser 1 5	Time:	35.55399
Tracking Lost: 	0.01903356	2.687974	 UserID:	SubUser 1 4	Time:	37.92278
Tracking Continued: 	-0.4583859	1.839428	 UserID:	SubUser 1 3	Time:	40.0218
Tracking Continued: 	0.4364079	2.756252	 UserID:	SubUser 1 5	Time:	40.0218
Tracking Begun: 	-0.08577984	3.147971	 UserID:	SubUser 1 4	Time:	44.75976
Tracking Lost: 	0	0	 UserID:	SubUser 1 5	Time:	46.74971
Tracking Continued: 	-0.5888609	2.833137	 UserID:	SubUser 1 3	Time:	50.01419
Tracking Continued: 	-0.1160601	3.162924	 UserID:	SubUser 1 4	Time:	50.01419
Tracking Begun: 	0.936931	2.109074	 UserID:	SubUser 1 5	Time:	50.69742
Tracking Begun: 	1.119218	3.161367	 UserID:	SubUser 1 1	Time:	51.79111
Tracking Lost: 	0	0	 UserID:	SubUser 1 4	Time:	52.61137
Tracking Lost: 	0	0	 UserID:	SubUser 1 5	Time:	54.51671
Tracking Begun: 	-0.9453148	2.667437	 UserID:	SubUser 1 4	Time:	56.66557
Tracking Lost: 	0.9607574	2.974192	 UserID:	SubUser 1 1	Time:	58.61781
Tracking Continued: 	-0.06024259	2.891484	 UserID:	SubUser 1 3	Time:	60.01786
Tracking Continued: 	-1.06773	2.529115	 UserID:	SubUser 1 4	Time:	60.01786
Tracking Continued: 	-0.1535148	2.822146	 UserID:	SubUser 1 3	Time:	70.02942
Tracking Continued: 	-1.078444	2.524576	 UserID:	SubUser 1 4	Time:	70.02942
Tracking Begun: 	0.4613325	2.733887	 UserID:	SubUser 1 1	Time:	73.05766
Tracking Lost: 	-0.1630366	2.819314	 UserID:	SubUser 1 3	Time:	75.02908
Tracking Continued: 	0.3659304	1.845439	 UserID:	SubUser 1 1	Time:	80.03178
Tracking Continued: 	-1.115713	2.497233	 UserID:	SubUser 1 4	Time:	80.03178
Tracking Begun: 	0.2095093	2.667699	 UserID:	SubUser 1 3	Time:	89.72876
Tracking Continued: 	0.5696322	1.833883	 UserID:	SubUser 1 1	Time:	90.02356
Tracking Continued: 	-1.117271	2.489146	 UserID:	SubUser 1 4	Time:	90.02356
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	92.45322
Tracking Lost: 	0	0	 UserID:	SubUser 1 1	Time:	94.26311
Tracking Begun: 	0.09684524	2.056477	 UserID:	SubUser 1 5	Time:	94.66525
Tracking Begun: 	-0.8016737	1.801635	 UserID:	SubUser 1 1	Time:	95.9539
Tracking Lost: 	0	0	 UserID:	SubUser 1 5	Time:	97.80121
Tracking Lost: 	0	0	 UserID:	SubUser 1 4	Time:	99.8126
Tracking Begun: 	0.02574439	2.623598	 UserID:	SubUser 1 4	Time:	99.8954
Tracking Continued: 	0.5968329	1.544032	 UserID:	SubUser 1 1	Time:	100.0314
